dataset,generator,alpha1,seed,stress_level,split_rule,result_status,released,UTR,audited_FTR,conservative_FTR,mass_ratio,emax,empty_reason,assumption_status,paper_use,source_table,paper_status,M,label_interpretation,verified_positive_removal_ratio,released_reference,unsupported_true,unsupported_false,unsupported_uncertain,unsupported_unlabeled,empirical_ftr_under_interpretation,reference_conservative_ftr,note
OVT-B,GroundingDINO,0.1,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,0,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.0133333333333333,0.0,0.0066666666666666,1.972956755701122,38.546439933685846,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,0,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,1,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.0266666666666666,0.0,0.02,2.93826035245556,37.20674236442314,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,1,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,2,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.02,0.0,0.0066666666666666,4.166467604552469,37.44649344759844,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,2,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.2,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,0,iid_baseline,existing_random_seed_splits,existing_reference_certificate,0.0,0.0,0.0,0.0,0.0226472784572209,33.97091768583136,no_k_satisfies_uniform_self_consistency,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,0,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,1,iid_baseline,existing_random_seed_splits,existing_reference_certificate,0.0,0.0,0.0,0.0,0.0227121088145159,34.068163221773965,no_k_satisfies_uniform_self_consistency,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,1,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,2,iid_baseline,existing_random_seed_splits,existing_reference_certificate,0.0,0.0,0.0,0.0,0.0225175333176006,33.776299976401,no_k_satisfies_uniform_self_consistency,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,2,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.1,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,0.0,0.0,0.0,0.0,0.0,33.240220081899686,no_k_satisfies_uniform_self_consistency,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,0,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.0333333333333333,0.2,0.0266666666666666,1.1766095486506838,33.97091768583136,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,0,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,1,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.0333333333333333,0.0,0.0266666666666666,1.1797734080157765,34.068163221773965,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,1,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,2,iid_baseline,existing_random_seed_splits,existing_reference_certificate,142.0,0.0070422535211267,0.0,0.0,1.00313951993378,33.776299976401,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,2,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
TAO,GroundingDINO,0.2,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,1.0874567284535706,33.240220081899686,,assumption_boundary_actual_rerun,assumption_boundary_result,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,0,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.04,0.0,0.04,1.398232229130564,24.917887765177458,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,0,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,1,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.04,0.0,0.04,1.3898344569291232,24.76470919866719,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,1,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,2,iid_baseline,existing_random_seed_splits,existing_reference_certificate,0.0,0.0,0.0,0.0,0.0167819013445068,25.172852016760327,no_k_satisfies_uniform_self_consistency,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,2,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.1,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,0,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.04,0.0,0.04,2.796464458261128,24.917887765177458,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,0,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,1,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.04,0.0,0.04,2.7796689138582464,24.76470919866719,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,1,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,2,iid_baseline,existing_random_seed_splits,existing_reference_certificate,150.0,0.0466666666666666,0.0,0.0466666666666666,1.5845114960100246,25.172852016760327,,main_iid_reference,main_reference,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,2,mild_scene_shift,scene_or_video_family_split,projection_only_not_claimed,,,,,,,projection_only_not_claimed,not_claimed_until_rerun,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
BURST,GroundingDINO,0.2,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,projection_only_not_claimed,,,,,,,projection_only_not_claimed,assumption_boundary_design,design_row_not_certificate,outputs/milestones/reliability_fortress/table_nonexchangeability_stress_results.csv,projection_only,,,,,,,,,,,
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_unknown,0.0,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_unknown,0.25,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_unknown,0.5,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_unknown,0.75,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_unknown,1.0,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_true,0.0,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_true,0.25,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_true,0.5,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_true,0.75,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_true,1.0,105.0,1.0,0.0,0.0,1.0,0.0,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_false,0.0,105.0,1.0,0.0,0.0,1.0,0.0095238095238095,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_false,0.25,105.0,1.0,0.0,0.0,1.0,0.0095238095238095,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_false,0.5,105.0,1.0,0.0,0.0,1.0,0.0095238095238095,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_false,0.75,105.0,1.0,0.0,0.0,1.0,0.0095238095238095,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
OVT-B,GroundingDINO,0.1,0,,,actual_verified_removal_rerun,,,,,1.0719256007826763,38.8326128927103,,,,outputs/milestones/reliability_fortress/table_null_inflation_empirical.csv,projection_only,150.0,uncertain_as_false,1.0,105.0,1.0,0.0,0.0,1.0,0.0095238095238095,0.0095238095238095,Actual OVT-B rerun with changed verified-positive removal ratio.
