dataset,generator,alpha,certified_risk_level_alpha,M,seed,raw_topM_released,raw_topM_audited_false_rate,raw_topM_unsupported_rate,raw_topM_policy,parc_released,parc_UTR,parc_audited_FTR,parc_conservative_FTR,empirical_audited_FTR,conservative_label_uncertainty_FTR,mass_ratio,best_mass_ratio,self_consistency_margin,required_emax,max_observed_e,mean_observed_e,selected_e_min,selected_e_mean,selected_e_max,official_supported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,release_feasible,empty_reason,safe_refusal_reason,HOTA_or_proxy,IDF1_or_proxy,MOTA_or_proxy,runtime_sec,paper_table_scope,diagnostic_available,raw_topM_false_rate,diagnostic_reason,human_audit_false_examples
TAO,OWL-ViT v1,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0022139982858059,0.0022139982858059,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,OWL-ViT v1,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0020608227618976,0.0020608227618976,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,GroundingDINO detector-only,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0226472784572209,0.0226472784572209,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,GroundingDINO detector-only,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0227121088145159,0.0227121088145159,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,GroundingDINO detector-only,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,0.0,,0.0,0.0225175333176006,0.0225175333176006,,,,,,,,,,,,,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,GroundingDINO + tracker,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,,,,,,,,33.97091768583136,,,,,0.0,0.0,0.0,0.0,0.0,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,GroundingDINO + tracker,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,,,,,,,,34.068163221773965,,,,,0.0,0.0,0.0,0.0,0.0,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
TAO,GroundingDINO + tracker,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,,,,,,,,33.776299976401,,,,,0.0,0.0,0.0,0.0,0.0,False,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
BURST,GroundingDINO,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,,,,0.7922557480050123,0.7922557480050123,,10.0,25.172852016760327,10.787999274737524,,,,0.0,0.0,0.0,0.0,0.0,True,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
BURST,OWLv2,0.1,0.1,150,0,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,,,,0.0831533391600178,0.0831533391600178,,10.0,29.349444448474973,2.3338423410306044,,,,0.0,0.0,0.0,0.0,0.0,True,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
BURST,OWLv2,0.1,0.1,150,1,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,,,,0.0766515245019775,0.0766515245019775,,10.0,29.29970226451609,1.6162013605691072,,,,0.0,0.0,0.0,0.0,0.0,True,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
BURST,OWLv2,0.1,0.1,150,2,150,,,score_ranked_topM_reference_count_only,0.0,0.0,,,,,0.0600543449927483,0.0600543449927483,,10.0,6.518818912046924,1.149439445570874,,,,0.0,0.0,0.0,0.0,0.0,True,no_k_satisfies_uniform_self_consistency,no_k_satisfies_uniform_self_consistency,,,,,main_protocol,True,,no_k_satisfies_uniform_self_consistency,
