dataset,scenario,alpha1,seed,method,M,released,UTR,audited_FTR,conservative_FTR,unsupported_true,unsupported_false,unsupported_uncertain,unsupported_unlabeled,mass_ratio,emax,empty_reason,self_consistency_margin,result_status,assumption_status,split_strategy,source_table,verified_positive_removal_ratio,label_interpretation
TAO,severe_sparse_annotation_shift,0.2,1,parc_track_gamma_tuned_uniform_scs,150,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,3.0,1.0,0.0,0.0,1.0874567284535706,33.240220081899686,,1.4907396895494998,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
TAO,severe_sparse_annotation_shift,0.2,2,parc_track_gamma_tuned_uniform_scs,150,44.0,0.0909090909090909,0.1666666666666666,0.0227272727272727,3.0,1.0,0.0,0.0,1.0874567284535706,33.240220081899686,,1.4907396895494998,actual_rerun,assumption_boundary_actual_rerun,severe_sparse_annotation_shift,outputs/milestones/reliability_fortress/table_nonexchangeability_severe_actual_results.csv,,
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826763,38.8326128927103,,1.0275085826096646,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.49845229359243,37.97314507911579,,4.9845229359243,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.1171773118812043,38.068782942910914,,11.171773118812036,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.986949573122302,38.8326128927103,,4.934747865611511,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.99690458718486,37.97314507911579,,9.9845229359243,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.234354623762409,38.068782942910914,,16.171773118812037,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826763,38.8326128927103,,1.0275085826096646,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.4966225726154694,37.92531273292138,,4.966225726154695,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.1145694440670924,38.02096847695493,,11.145694440670924,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.986949573122302,38.8326128927103,,4.934747865611511,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.9932451452309388,37.92531273292138,,9.966225726154695,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.229138888134185,38.02096847695493,,16.145694440670923,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.25,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826763,38.8326128927103,,1.0275085826096646,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.4966225726154694,37.92531273292138,,4.966225726154695,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.1145694440670924,38.02096847695493,,11.145694440670924,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.986949573122302,38.8326128927103,,4.934747865611511,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.9932451452309388,37.92531273292138,,9.966225726154695,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.229138888134185,38.02096847695493,,16.145694440670923,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.5,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826763,38.8326128927103,,1.0275085826096646,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.4966225726154694,37.92531273292138,,4.966225726154695,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.1145694440670924,38.02096847695493,,11.145694440670924,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.986949573122302,38.8326128927103,,4.934747865611511,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.9932451452309388,37.92531273292138,,9.966225726154695,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.229138888134185,38.02096847695493,,16.145694440670923,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,0.75,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,0,parc_track_gamma_tuned_uniform_scs,150,105.0,0.019047619047619,0.0,0.0095238095238095,1.0,0.0,0.0,1.0,1.0719256007826763,38.8326128927103,,1.0275085826096646,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,1.4947924668726005,37.877471421844106,,4.947924668726003,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.1,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,2.111961051308516,37.97314507911579,,11.119610513085153,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,0,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0133333333333333,0.0,0.0066666666666666,1.0,0.0,0.0,1.0,1.986949573122302,38.8326128927103,,4.934747865611511,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,1,parc_track_gamma_tuned_uniform_scs,150,150.0,0.0266666666666666,0.0,0.02,1.0,0.0,0.0,3.0,2.989584933745201,37.877471421844106,,9.947924668726005,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,1.0,uncertain_as_unknown
OVT-B,verified_positive_removal_ratio,0.2,2,parc_track_gamma_tuned_uniform_scs,150,150.0,0.02,0.0,0.0066666666666666,2.0,0.0,0.0,1.0,4.223922102617032,37.97314507911579,,16.119610513085153,actual_rerun,,,outputs/milestones/reliability_fortress/table_null_inflation_verified_removal_actual_results.csv,1.0,uncertain_as_unknown
