dataset,generator,alpha1,seed,M,shift_scenario,split_rule,released,UTR,audited_FTR,conservative_FTR,mass_ratio,emax,empty_reason,assumption_status,result_status
TAO,GroundingDINO detector-only,0.1,2,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.00788113666116021,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,2,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.010132889992920271,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,2,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.0112587666588003,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,2,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.012384643324680332,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,2,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.01351051999056036,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO detector-only,0.1,2,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.0112587666588003,,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.3724929024573355,38.546439933685846,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.47891944601657427,38.546439933685846,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.5321327177961936,38.546439933685846,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.5853459895758131,38.546439933685846,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.6385592613554324,38.546439933685846,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,0,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.5321327177961936,38.546439933685846,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.5141955616797229,37.20674236442314,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.661108579302501,37.20674236442314,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.73456508811389,37.20674236442314,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.8080215969252791,37.20674236442314,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.881478105736668,37.20674236442314,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,1,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.73456508811389,37.20674236442314,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.7291318307966822,37.44649344759844,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.9374552110243058,37.44649344759844,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,common_classes_to_tail_classes,head_to_tail_query_shift,150.0,0.02,0.0,0.0066666666666666,1.0416169011381176,37.44649344759844,,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,large_objects_to_small_objects,size_shift_large_to_small,150.0,0.02,0.0,0.0066666666666666,1.1457785912519294,37.44649344759844,,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,150.0,0.02,0.0,0.0066666666666666,1.249940281365741,37.44649344759844,,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
OVT-B,GroundingDINO + tracker,0.1,2,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,150.0,0.02,0.0,0.0066666666666666,1.0416169011381176,37.44649344759844,,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,0,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.0,33.97091768583136,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,0,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.0,33.97091768583136,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,0,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.0,33.97091768583136,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,0,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.0,33.97091768583136,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,0,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.0,33.97091768583136,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,0,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.0,33.97091768583136,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,1,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.0,34.068163221773965,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,1,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.0,34.068163221773965,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,1,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.0,34.068163221773965,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,1,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.0,34.068163221773965,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,1,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.0,34.068163221773965,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,1,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.0,34.068163221773965,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,2,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.0,33.776299976401,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,2,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.0,33.776299976401,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,2,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.0,33.776299976401,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,2,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.0,33.776299976401,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,2,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.0,33.776299976401,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
TAO,GroundingDINO + tracker,0.1,2,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.0,33.776299976401,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,0,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.5697890335637245,24.917887765177458,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,0,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.7325859002962173,24.917887765177458,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,0,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.8139843336624636,24.917887765177458,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,0,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.89538276702871,24.917887765177458,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,0,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.9767812003949563,24.917887765177458,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,0,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.8139843336624636,24.917887765177458,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,1,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.486442059925193,13.89834456929123,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,1,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.6254255056181054,13.89834456929123,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,1,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.6949172284645615,13.89834456929123,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,1,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.7644089513110177,13.89834456929123,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,1,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.8339006741574738,13.89834456929123,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,1,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.6949172284645615,13.89834456929123,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,2,150,calibrate_OVT-B_test_TAO,dataset_transfer_ovtb_to_tao,0.0,0.0,0.0,0.0,0.27728951180175426,25.172852016760327,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,2,150,calibrate_TAO_test_BURST,dataset_transfer_tao_to_burst,0.0,0.0,0.0,0.0,0.35651508660225556,25.172852016760327,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,2,150,common_classes_to_tail_classes,head_to_tail_query_shift,0.0,0.0,0.0,0.0,0.39612787400250615,25.172852016760327,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,2,150,large_objects_to_small_objects,size_shift_large_to_small,0.0,0.0,0.0,0.0,0.4357406614027568,25.172852016760327,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,2,150,long_tracks_to_short_tracks,track_length_shift_long_to_short,0.0,0.0,0.0,0.0,0.47535344880300734,25.172852016760327,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
BURST,GroundingDINO,0.1,2,150,clear_scenes_to_occluded_scenes,scene_difficulty_shift,0.0,0.0,0.0,0.0,0.39612787400250615,25.172852016760327,safe_refusal_under_domain_shift,assumption_boundary_sensitivity,derived_shift_sensitivity_from_frozen_main_table
