method,alpha1,candidate_budget_M,released,utr,conservative_ftr,margin,nonempty_rate
post_filter_e_bh,0.2,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,2.604 ± 1.1,1.000
post_filter_e_bh,0.2,150,147.3 ± 4.619,0.02457 ± 0.01518,0.966 ± 0.006754,0.5995 ± 0.5049,1.000
post_filter_e_bh,0.2,175,155.3 ± 27.43,0.02609 ± 0.01563,0.9677 ± 0.00953,0.2765 ± 0.1559,1.000
post_filter_e_bh,0.2,200,135.3 ± 56.08,0.01981 ± 0.01749,0.9611 ± 0.01833,0.6576 ± 0.4344,1.000
post_filter_e_bh,0.2,250,31.33 ± 54.27,0.003546 ± 0.006142,0.9574 ± 0,0.1542 ± 0,0.333
tracklet_e_bh,0.05,75,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,100,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,125,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,150,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,175,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,200,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.05,250,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.1,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,5.117 ± 0.1606,1.000
tracklet_e_bh,0.1,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,2.634 ± 0.8639,1.000
tracklet_e_bh,0.1,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,0.7604 ± 0.824,1.000
tracklet_e_bh,0.1,150,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.1,175,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.1,200,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.1,250,0 ± 0,0 ± 0,,,0.000
tracklet_e_bh,0.2,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,10.12 ± 0.1606,1.000
tracklet_e_bh,0.2,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,7.634 ± 0.8639,1.000
tracklet_e_bh,0.2,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,5.76 ± 0.824,1.000
tracklet_e_bh,0.2,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,3.447 ± 0.3945,1.000
tracklet_e_bh,0.2,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,2.681 ± 0.2861,1.000
tracklet_e_bh,0.2,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,2.481 ± 0.385,1.000
tracklet_e_bh,0.2,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,1.299 ± 0.2108,1.000
tracklet_p_bh,0.05,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
tracklet_p_bh,0.05,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
tracklet_p_bh,0.05,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
tracklet_p_bh,0.05,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
tracklet_p_bh,0.05,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
tracklet_p_bh,0.05,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
tracklet_p_bh,0.05,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
tracklet_p_bh,0.1,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
tracklet_p_bh,0.1,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
tracklet_p_bh,0.1,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
tracklet_p_bh,0.1,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
tracklet_p_bh,0.1,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
tracklet_p_bh,0.1,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
tracklet_p_bh,0.1,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
tracklet_p_bh,0.2,75,75 ± 0,0 ± 0,0.9556 ± 0.007698,,1.000
tracklet_p_bh,0.2,100,100 ± 0,0.01 ± 0.01,0.9567 ± 0.005774,,1.000
tracklet_p_bh,0.2,125,125 ± 0,0.016 ± 0.01386,0.9627 ± 0.009238,,1.000
tracklet_p_bh,0.2,150,150 ± 0,0.02667 ± 0.01155,0.9667 ± 0.006667,,1.000
tracklet_p_bh,0.2,175,175 ± 0,0.03429 ± 0.005714,0.9676 ± 0.008729,,1.000
tracklet_p_bh,0.2,200,200 ± 0,0.035 ± 0.00866,0.9717 ± 0.007638,,1.000
tracklet_p_bh,0.2,250,250 ± 0,0.044 ± 0.012,0.9747 ± 0.008327,,1.000
unmatched_as_false_block,0.05,75,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,100,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,125,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,150,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,175,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,200,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.05,250,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,75,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,100,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,125,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,150,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,175,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,200,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.1,250,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.2,75,75 ± 0,0 ± 0,0 ± 0,1.081 ± 0.02318,1.000
unmatched_as_false_block,0.2,100,99 ± 1.732,0.00677 ± 0.005865,0 ± 0,0.3875 ± 0.09033,1.000
unmatched_as_false_block,0.2,125,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.2,150,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.2,175,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.2,200,0 ± 0,0 ± 0,,,0.000
unmatched_as_false_block,0.2,250,0 ± 0,0 ± 0,,,0.000
