method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,best_M_on_test_grid,diagnostic_only
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.1564886288483465,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,39.72238348169974,34.311093800927324,20.0,True,34.311093800927324,23.1103514104536,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2746.0,,,67.0,22.388059701492537,-8.80563333357945,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,75,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,708.0,590.0,118.0,590.0,590.0,590.0,118.0,0.0,0.15669520983879,0.15669520983879,0.001410437235543,0.0016920473773265,0.0016920473773265,39.72092426310993,34.068163221773965,20.0,True,34.068163221773965,23.25832340323012,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,42.0,2704.0,,,75.0,20.0,-6.510679305001542,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,75,True
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0003247112035751,block_evalue_post_filter,75,True
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0003463001921772,tracklet_level_e_self_consistency,75,True
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001722602173686,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.5,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,13.313526955694432,12.206555615733704,20.0,True,12.206555615733704,9.412246846794275,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2746.0,,,75.0,20.0,-13.896722192133147,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,1,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,242,8,,,,,,,,,0.032,0.0,,0.972,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001699710264801,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,242,8,,,,,,,,,0.032,0.0,,0.972,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001517804339528,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708.0,586.0,122.0,586.0,586.0,586.0,122.0,0.0,0.1568621343856925,0.1568621343856925,0.001410437235543,0.0017035775127768,0.0017035775127768,39.71969476571238,33.873629996856955,20.0,True,33.873629996856955,19.96487563595643,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2849.0,,,75.0,20.0,-9.474513868824086,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,2,certified_or_core_baseline,,,75,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,708.0,584.0,124.0,584.0,584.0,584.0,124.0,0.0,0.1569461580486026,0.1569461580486026,0.001410437235543,0.0017094017094017,0.0017094017094017,39.71905887205482,33.776299976401,20.0,True,33.776299976401,23.60502080282684,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,40.0,2809.0,,,75.0,20.0,-6.622555243151517,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,2,certified_or_core_baseline,,,75,True
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0003225905820727,block_evalue_post_filter,75,True
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0003595501184463,tracklet_level_e_self_consistency,75,True
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,242,8,,,,,,,,,0.032,0.0,,0.972,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001697493717074,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708.0,586.0,122.0,586.0,586.0,586.0,122.0,0.0,0.5,0.1568621343856925,0.001410437235543,0.0017035775127768,0.0017035775127768,13.313526955694432,12.114041439585716,20.0,True,12.114041439585716,8.566269869255555,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2849.0,,,75.0,20.0,-13.94297928020714,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,2,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00016943924129,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001512998715043,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,39.72122294384446,34.11677023775056,10.0,True,34.11677023775056,21.51894043304608,75,75.0,0.0,75,75,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2753.0,10.0,0.5979740293455666,31.0,24.19354838709677,9.923221850653784,10.597974029345568,21.51894043304608,34.11677023775056,,,0,certified_or_core_baseline,,,75,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,708.0,588.0,120.0,588.0,588.0,588.0,120.0,0.0,0.1567784859787324,0.1567784859787324,0.001410437235543,0.0016977928692699,0.0016977928692699,39.72031650906805,33.97091768583136,10.0,True,33.97091768583136,21.746287424072253,100,100.0,0.0,97,96,1,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0103092783505154,0.0,0.0,0.0,0.97,41.0,2712.0,10.309278350515465,0.2452138083078185,41.0,24.39024390243902,9.58067378339234,10.55449215882328,22.14841343366692,33.97091768583136,,,0,certified_or_core_baseline,,,100,True
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,100,,,97,96,1,,,,,,,,,0.0103092783505154,0.0,,0.9587628865979382,0.97,,,10.309278350515465,0.2452138083078168,,,,,,,,,0,diagnostic_baseline,0.0004758415743708,block_evalue_post_filter,100,True
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,125,,,125,121,4,,,,,,,,,0.032,0.2,,0.968,1.0,,,10.0,1.6468879963705323,,,,,,,,,0,diagnostic_baseline,0.0001520095393061,tracklet_level_e_self_consistency,125,True
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001694206148386,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,13.313526955694432,12.16552506059644,10.0,True,12.16552506059644,8.958006251407944,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2753.0,,,75.0,10.0,-3.9172374697017807,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001716092228889,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001593204215168,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.1564886288483465,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,39.72238348169974,34.311093800927324,10.0,True,34.311093800927324,23.1103514104536,75,75.0,0.0,75,75,0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2746.0,10.0,0.6558994626225818,34.0,22.05882352941176,12.252270271515563,10.655899462622582,23.1103514104536,34.311093800927324,,,1,certified_or_core_baseline,,,75,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,708.0,590.0,118.0,590.0,590.0,590.0,118.0,0.0,0.15669520983879,0.15669520983879,0.001410437235543,0.0016920473773265,0.0016920473773265,39.72092426310993,34.068163221773965,10.0,True,34.068163221773965,20.52548902516537,100,100.0,0.0,100,100,0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,2704.0,10.0,0.5834836849301528,34.0,29.41176470588235,4.656398515891613,10.583483684930153,20.52548902516537,34.068163221773965,,,1,certified_or_core_baseline,,,100,True
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,100,,,100,100,0,,,,,,,,,0.0,0.0,,0.95,1.0,,,10.0,0.5834836849301528,,,,,,,,,1,diagnostic_baseline,0.0001477804034948,block_evalue_post_filter,100,True
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,125,,,125,124,1,,,,,,,,,0.008,0.0,,0.952,1.0,,,10.0,0.6164181027940554,,,,,,,,,1,diagnostic_baseline,0.0001523401588201,tracklet_level_e_self_consistency,125,True
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.000172609463334,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.5,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,13.313526955694432,12.206555615733704,10.0,True,12.206555615733704,9.412246846794275,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2746.0,,,75.0,10.0,-3.896722192133148,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,242,8,,,,,,,,,0.032,0.0,,0.972,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001700101420283,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,242,8,,,,,,,,,0.032,0.0,,0.972,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001512905582785,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708.0,586.0,122.0,586.0,586.0,586.0,122.0,0.0,0.1568621343856925,0.1568621343856925,0.001410437235543,0.0017035775127768,0.0017035775127768,39.71969476571238,33.873629996856955,10.0,True,33.873629996856955,19.96487563595643,75,75.0,0.0,75,75,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2849.0,10.0,0.5254861311759136,26.0,28.846153846153847,5.027476150703109,10.525486131175914,19.96487563595643,33.873629996856955,,,2,certified_or_core_baseline,,,75,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,708.0,584.0,124.0,584.0,584.0,584.0,124.0,0.0,0.1569461580486026,0.1569461580486026,0.001410437235543,0.0017094017094017,0.0017094017094017,39.71905887205482,33.776299976401,10.0,True,33.776299976401,20.587170116533745,100,100.0,0.0,100,99,1,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,40.0,2809.0,10.0,0.4964655393578301,36.0,27.77777777777778,5.9985221986232204,10.49646553935783,20.587170116533745,33.776299976401,,,2,certified_or_core_baseline,,,100,True
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,100,,,100,99,1,,,,,,,,,0.01,0.0,,0.96,1.0,,,10.0,0.4964655393578301,,,,,,,,,2,diagnostic_baseline,0.0001468798145651,block_evalue_post_filter,100,True
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,125,,,125,124,1,,,,,,,,,0.008,0.0,,0.968,1.0,,,10.0,0.0178412273874091,,,,,,,,,2,diagnostic_baseline,0.0001545809209346,tracklet_level_e_self_consistency,125,True
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,242,8,,,,,,,,,0.032,0.0,,0.972,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001709600910544,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708.0,586.0,122.0,586.0,586.0,586.0,122.0,0.0,0.5,0.1568621343856925,0.001410437235543,0.0017035775127768,0.0017035775127768,13.313526955694432,12.114041439585716,10.0,True,12.114041439585716,8.566269869255555,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2849.0,,,75.0,10.0,-3.942979280207141,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,2,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001709209755063,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001649502664804,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.2,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,39.72122294384446,34.11677023775056,5.0,True,34.11677023775056,14.659577593529882,150,150.0,0.0,147,142,5,1.0,1.0,0.0,3.0,5.0,4.0,1.0,0.0,0.0340136054421768,0.2,0.0069444444444444,0.0272108843537414,0.98,0.0,2753.0,5.1020408163265305,0.2462009474517659,31.0,24.19354838709677,9.923221850653784,5.348241763778296,14.858884833060856,34.11677023775056,,,0,certified_or_core_baseline,,,150,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,708.0,588.0,120.0,588.0,588.0,588.0,120.0,0.0,0.1567784859787324,0.1567784859787324,0.001410437235543,0.0016977928692699,0.0016977928692699,39.72031650906805,33.97091768583136,5.0,True,33.97091768583136,14.186027211229192,200,200.0,0.0,200,192,8,1.0,1.0,0.0,6.0,5.0,4.0,1.0,0.0,0.04,0.2,0.0051546391752577,0.035,1.0,41.0,2712.0,5.0,0.3268377086130982,41.0,24.39024390243902,9.58067378339234,5.326837708613098,14.186027211229192,33.97091768583136,,,0,certified_or_core_baseline,,,200,True
post_filter_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,200,,,200,192,8,,,,,,,,,0.04,0.2,,0.98,1.0,,,5.0,0.3268377086130982,,,,,,,,,0,diagnostic_baseline,0.0001644697040319,block_evalue_post_filter,200,True
tracklet_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,5.0,1.3164118630381765,,,,,,,,,0,diagnostic_baseline,0.0001724399626255,tracklet_level_e_self_consistency,250,True
tracklet_p_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,239,11,,,,,,,,,0.044,0.2,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.000211720354855,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.2,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,13.313526955694432,12.16552506059644,5.0,True,12.16552506059644,8.18644385967496,100,100.0,0.0,97,96,1,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0103092783505154,0.0,0.0,0.0,0.97,0.0,2753.0,5.154639175257731,0.2859490282364456,94.0,5.319148936170213,0.7636135941280067,5.440588203494177,8.286028057131388,12.16552506059644,,,0,certified_or_core_baseline,,,100,True
confidence_threshold,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.000182369723916,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001708399504423,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.2,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.1564886288483465,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,39.72238348169974,34.311093800927324,5.0,True,34.311093800927324,13.899477020427094,175,175.0,0.0,164,158,6,2.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0365853658536585,0.0,0.0,0.024390243902439,0.9371428571428572,0.0,2746.0,5.335365853658536,0.041388006482018,34.0,25.73529411764705,8.57579968328027,5.376753860140554,14.520328691003831,34.311093800927324,,,1,certified_or_core_baseline,,,175,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,708.0,590.0,118.0,590.0,590.0,590.0,118.0,0.0,0.15669520983879,0.15669520983879,0.001410437235543,0.0016920473773265,0.0016920473773265,39.72092426310993,34.068163221773965,5.0,True,34.068163221773965,14.618222632994549,175,175.0,0.0,167,161,6,2.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0359281437125748,0.0,0.0,0.0239520958083832,0.9542857142857144,42.0,2704.0,5.239520958083832,0.10158803062198,34.0,25.73529411764705,8.33286910412691,5.3411089887058125,15.084388129516029,34.068163221773965,,,1,certified_or_core_baseline,,,175,True
post_filter_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,175,,,167,161,6,,,,,,,,,0.0359281437125748,0.0,,0.9580838323353292,0.9542857142857144,,,5.239520958083832,0.10158803062198,,,,,,,,,1,diagnostic_baseline,0.0005150800570845,block_evalue_post_filter,175,True
tracklet_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,5.0,1.5012018119729218,,,,,,,,,1,diagnostic_baseline,0.0001718997955322,tracklet_level_e_self_consistency,250,True
tracklet_p_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.000170630402863,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.2,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.5,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,13.313526955694432,12.206555615733704,5.0,True,12.206555615733704,8.520570568833982,100,100.0,0.0,100,100,0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2746.0,5.0,0.4589376255824726,90.0,5.555555555555555,0.5477222523112966,5.458937625582473,8.520570568833982,12.206555615733704,,,1,certified_or_core_baseline,,,100,True
confidence_threshold,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,242,8,,,,,,,,,0.032,0.0,,0.972,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001730900257825,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.2,,,,,,,,,,,,,,,,,,,,,250,,,250,242,8,,,,,,,,,0.032,0.0,,0.972,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001537501811981,top_m_by_score_no_risk_control,250,True
