dataset,video_id,path_id,first_pass_label,verified_positive_for_calibration,second_rater_label,second_rater_verified_positive_for_calibration,second_rater_reason,second_rater_confidence
OVT-B,53,ovtb_v53_p002693,actually_true,yes,,,,
OVT-B,63,ovtb_v63_p002754,actually_true,no,,,,
OVT-B,47,ovtb_v47_p002639,actually_true,yes,,,,
TAO,5502,ovtb_v5502_p004018,actually_false,no,,,,
TAO,5294,ovtb_v5294_p003687,actually_true,yes,,,,
TAO,4334,ovtb_v4334_p002551,actually_true,yes,,,,
OVT-B,170,ovtb_v170_p003374,actually_true,yes,,,,
TAO,431,ovtb_v431_p000215,actually_true,no,,,,
TAO,3093,ovtb_v3093_p001676,actually_true,yes,,,,
TAO,279,ovtb_v279_p000125,actually_true,no,,,,
TAO,3325,ovtb_v3325_p001874,actually_true,no,,,,
TAO,4336,ovtb_v4336_p002797,actually_true,no,,,,
TAO,5877,ovtb_v5877_p004236,actually_true,no,,,,
TAO,2580,ovtb_v2580_p001372,actually_true,yes,,,,
TAO,5478,ovtb_v5478_p003988,actually_true,no,,,,
OVT-B,163,ovtb_v163_p003340,actually_true,yes,,,,
TAO,2076,ovtb_v2076_p000985,actually_true,no,,,,
TAO,2480,ovtb_v2480_p001203,actually_true,no,,,,
OVT-B,231,ovtb_v231_p003781,actually_true,yes,,,,
